Country	Region	Happiness score	Log (GDP Per Capita)	Social support	Healthy life expectancy	Freedom to make life choices	Generosity	Perceptions of corruption
Finland	Western Europe	7.8087000846863	10.639266967773	0.9543297290802	71.900825500488	0.9491721987724	-0.059482019395	0.1954445838928
Denmark	Western Europe	7.6455998420715	10.774001121521	0.9559907913208	72.402503967285	0.9514442682266	0.0662017762661	0.1684894561768
Switzerland	Western Europe	7.5598998069763	10.979932785034	0.942846596241	74.102447509766	0.9213366508484	0.105911038816	0.3037284314632
Iceland	Western Europe	7.504499912262	10.772559165955	0.9746695756912	73	0.9488918781281	0.246944218874	0.7117097377777
Norway	Western Europe	7.4879999160767	11.087803840637	0.9524865746498	73.200782775879	0.9557502865791	0.1345326304436	0.2632181942463
Netherlands	Western Europe	7.4489002227783	10.812711715698	0.9391388297081	72.300918579102	0.9085478186607	0.20761243999	0.3647171258926
Sweden	Western Europe	7.3534998893738	10.758793830872	0.9263111948967	72.600769042969	0.9391441941261	0.1116146221757	0.2508801817894
New Zealand	North America and ANZ	7.2996001243591	10.500943183899	0.9491189718246	73.202629089356	0.9362174868584	0.191598072648	0.2211388498545
Austria	Western Europe	7.2941999435425	10.742823600769	0.9280458688736	73.002502441406	0.8999894857407	0.0854292213917	0.4999548792839
Luxembourg	Western Europe	7.2375001907349	11.450680732727	0.9069122076035	72.599998474121	0.9056364297867	-0.004620587919	0.3670842945576
Canada	North America and ANZ	7.2321000099182	10.692368507385	0.9271766543388	73.601600646973	0.933913230896	0.1247707679868	0.3908433616161
Australia	North America and ANZ	7.2227997779846	10.720596313477	0.9448546171188	73.604537963867	0.9154317378998	0.1904601603746	0.4151691198349
United Kingdom	Western Europe	7.1645002365112	10.600134849548	0.9366828203201	72.301605224609	0.8347436785698	0.2637324929237	0.4359159171581
Israel	Middle East and North Africa	7.1286001205444	10.417525291443	0.9135712385178	73.200256347656	0.7475805878639	0.1025937199593	0.7808550596237
Costa Rica	Latin America and Caribbean	7.1213998794556	9.6581563949585	0.9015459418297	71.299850463867	0.9347389340401	-0.102429710329	0.7863324284554
Ireland	Western Europe	7.0936999320984	11.160978317261	0.9420815706253	72.300788879395	0.8869829773903	0.1457849740982	0.3571841716766
Germany	Western Europe	7.0757999420166	10.732818603516	0.8988744616508	72.202018737793	0.8673710823059	0.0801793858409	0.4564220309258
United States	North America and ANZ	6.9395999908447	10.925768852234	0.9142190217972	68.299499511719	0.8426195383072	0.1498917341232	0.6997153162956
Czech Republic	Central and Eastern Europe	6.9109001159668	10.404163360596	0.9144306778908	70.04793548584	0.8185373544693	-0.230861514807	0.8584462404251
Belgium	Western Europe	6.8635001182556	10.673639297485	0.9116325378418	72.001647949219	0.8135820627213	-0.078691199422	0.6122979521751
United Arab Emirates	Middle East and North Africa	6.7908000946045	11.109998703003	0.8491811156273	67.082786560059	0.941345512867	0.12345084548	0.5945022106171
Malta	Western Europe	6.7727999687195	10.533838272095	0.9303795099258	72.199996948242	0.9249114394188	0.2149658054113	0.6585472822189
France	Western Europe	6.6637997627258	10.584222793579	0.9371037483215	73.801933288574	0.825467646122	-0.130641967058	0.5835211277008
Mexico	Latin America and Caribbean	6.4650001525879	9.797797203064	0.8386654257774	68.299026489258	0.8587092757225	-0.175266623497	0.8068215847015
Taiwan Province of China	East Asia	6.4553999900818	10.775685310364	0.8943091034889	69.599998474121	0.7715303301811	-0.073198698461	0.7318829298019
Uruguay	Latin America and Caribbean	6.4401001930237	9.9481925964356	0.9228112697601	69.002548217773	0.8923954367638	-0.101103112102	0.6359941363335
Saudi Arabia	Middle East and North Africa	6.4064998626709	10.797812461853	0.8740670681	66.305145263672	0.8541912436485	-0.168695062399	0.6826195120811
Spain	Western Europe	6.400899887085	10.462926864624	0.9211254119873	74.402709960938	0.751989543438	-0.050961714238	0.7658599019051
Guatemala	Latin America and Caribbean	6.3989000320435	8.9248056411743	0.8166214823723	64.808944702148	0.9081475734711	-0.042938664556	0.7832374572754
Italy	Western Europe	6.3874001502991	10.48183631897	0.8898785710335	73.601684570313	0.6646519899368	-0.043460998684	0.8734046816826
Singapore	Southeast Asia	6.3770999908447	11.39552116394	0.9102689623833	76.804580688477	0.9266453385353	0.0298792235553	0.109784193337
Brazil	Latin America and Caribbean	6.375599861145	9.5664348602295	0.8967238068581	66.480163574219	0.7998048067093	-0.101812392473	0.770601272583
Slovenia	Central and Eastern Europe	6.3633999824524	10.392322540283	0.9395756721497	71.102989196777	0.9361426234245	-0.080603383482	0.8170710206032
El Salvador	Latin America and Caribbean	6.3482999801636	8.9090757369995	0.8060922622681	66.108261108398	0.8338052630425	-0.121072977781	0.7543199062347
Kosovo	Central and Eastern Europe	6.3252000808716	9.2044296264648	0.8207265138626	63.885555267334	0.8615359067917	0.1909337639809	0.9223282933235
Panama	Latin America and Caribbean	6.3048000335693	10.034234046936	0.9020944833755	69.603012084961	0.8803665041924	-0.153927713633	0.8515889048576
Slovakia	Central and Eastern Europe	6.2806000709534	10.347749710083	0.9224937558174	68.906341552734	0.749952673912	-0.124409303069	0.9180961251259
Uzbekistan	Commonwealth of Independent States	6.2575998306274	8.7403717041016	0.9265958070755	65.107574462891	0.9749981164932	0.2484271526337	0.501497387886
Chile	Latin America and Caribbean	6.2284998893738	10.032054901123	0.8797135949135	69.900619506836	0.7448962926865	-0.065668366849	0.8382394313812
Bahrain	Middle East and North Africa	6.2273001670837	10.676380157471	0.8763421177864	68.5	0.9058557748795	0.1337291896343	0.7393471002579
Lithuania	Central and Eastern Europe	6.2154998779297	10.343626022339	0.926107108593	67.294075012207	0.7473814487457	-0.219725295901	0.8095838427544
Trinidad and Tobago	Latin America and Caribbean	6.1918997764587	10.260002136231	0.9152941703796	63.5	0.8579071164131	0.0005268406821	0.9122306108475
Poland	Central and Eastern Europe	6.1862998008728	10.265124320984	0.8742574453354	69.311134338379	0.8620557785034	-0.205084070563	0.6869270205498
Colombia	Latin America and Caribbean	6.1634001731873	9.5003690719605	0.8844402432442	67.699584960938	0.8361799120903	-0.161235645413	0.8645718097687
Cyprus	Western Europe	6.1589999198914	10.405702590942	0.8059962391853	73.702224731445	0.7798582911491	0.043731495738	0.8562717437744
Nicaragua	Latin America and Caribbean	6.1371002197266	8.4931602478027	0.8574970364571	67.507179260254	0.8639028668404	0.0209591407329	0.6659501194954
Romania	Central and Eastern Europe	6.1237001419067	10.107583999634	0.8251615166664	67.207237243652	0.8428232073784	-0.197815209627	0.9343002438545
Kuwait	Middle East and North Africa	6.1020998954773	11.089824676514	0.8464752435684	66.767646789551	0.8723664879799	-0.100184701383	0.7608490586281
Mauritius	Sub-Saharan Africa	6.1012997627258	9.9567861557007	0.9103578329086	66.404342651367	0.8895345330238	-0.018318573013	0.8053430914879
Kazakhstan	Commonwealth of Independent States	6.0578999519348	10.114658355713	0.9347448945045	64.609962463379	0.8116019368172	-0.068488635123	0.7644908428192
Estonia	Central and Eastern Europe	6.0218000411987	10.340017318726	0.9347299933434	68.604957580566	0.8777091503143	-0.111697770655	0.6230738162994
Philippines	Southeast Asia	6.0060000419617	8.9935455322266	0.8467300534248	61.926761627197	0.9154634475708	-0.105463005602	0.7336341142654
Hungary	Central and Eastern Europe	6.0004000663757	10.249243736267	0.9219341278076	67.609970092773	0.7189645767212	-0.194323018193	0.8929165005684
Thailand	Southeast Asia	5.9987998008728	9.7417917251587	0.8899732232094	67.250595092773	0.9050630331039	0.2686851918697	0.8862723112106
Argentina	Latin America and Caribbean	5.9746999740601	9.8109550476074	0.9005679488182	68.803802490234	0.8311324119568	-0.194913864136	0.8420098423958
Honduras	Latin America and Caribbean	5.9531998634338	8.4245347976685	0.8218701481819	67.198768615723	0.8706032633781	0.08696911484	0.8011319041252
Latvia	Central and Eastern Europe	5.9499998092651	10.175319671631	0.9182885885239	66.807464599609	0.6712376475334	-0.186888843775	0.7955800890923
